F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.827,1.284,1.063,1.016,0.233,1.169,0.148,0.209,0.331,1.224,0.827,1.284,1.063,1.016,0.233,1.169,0.148,0.209,0.331,1.224,109.481,3
1.357,2.092,0.991,1.017,0.404,2.668,0.488,0.192,0.303,2.75,1.357,2.092,0.991,1.017,0.404,2.668,0.488,0.192,0.303,2.75,106.32,3
1.197,1.884,1.12,1.208,0.157,4.314,1.726,0.632,1.105,5.825,1.197,1.884,1.12,1.208,0.157,4.314,1.726,0.632,1.105,5.825,106.042,3
1.348,2.154,1.026,1.102,0.269,3.911,0.832,0.404,0.451,4.442,1.348,2.154,1.026,1.102,0.269,3.911,0.832,0.404,0.451,4.442,108.24,3
0.85,1.343,1.086,1.031,0.234,1.34,0.298,0.236,0.474,1.473,0.85,1.343,1.086,1.031,0.234,1.34,0.298,0.236,0.474,1.473,107.005,3
1.568,2.357,0.861,0.787,0.813,1.939,0.369,0.138,0.23,1.691,1.568,2.357,0.861,0.787,0.813,1.939,0.369,0.138,0.23,1.691,105.65,3
1.409,2.106,0.959,0.962,0.482,2.377,0.371,0.146,0.23,2.326,1.409,2.106,0.959,0.962,0.482,2.377,0.371,0.146,0.23,2.326,105.65,3
1.361,2.065,0.933,0.928,0.496,2.311,0.491,0.213,0.284,2.181,1.361,2.065,0.933,0.928,0.496,2.311,0.491,0.213,0.284,2.181,106.32,3
1.366,2.122,0.969,0.98,0.389,2.936,0.288,0.101,0.201,2.937,1.366,2.122,0.969,0.98,0.389,2.936,0.288,0.101,0.201,2.937,107.28,3
0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,443.072,4
0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,443.072,4
0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,443.072,4
0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,443.072,4
0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,443.072,4
0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,0.459,1,0.91,0.888,1.018,0.696,0.614,0.393,0.221,0.094,443.072,4
